	 14:53:51 22/05/2015
	 14:54:02 22/05/2015
	 14:54:02 22/05/2015
	 14:54:02 22/05/2015
	 14:54:02 22/05/2015
	 14:54:02 22/05/2015
	 14:54:03 22/05/2015
	 14:55:26 22/05/2015
	 14:55:42 22/05/2015
	 14:55:53 22/05/2015
http://localhost/genk.html	 14:56:03 22/05/2015
	 15:02:22 22/05/2015
http://localhost/genk.html	 15:02:33 22/05/2015
	 15:04:54 22/05/2015
http://localhost/genk.html	 15:05:05 22/05/2015
	 15:07:44 22/05/2015
http://localhost/genk.html	 15:07:53 22/05/2015
	 15:14:04 22/05/2015
	 15:15:06 22/05/2015
http://localhost/genk.html	 15:15:12 22/05/2015
	 15:22:09 22/05/2015
http://localhost/genk.html	 15:22:20 22/05/2015
	 15:44:29 22/05/2015
http://localhost/genk.html	 15:44:42 22/05/2015
	 19:26:31 23/05/2015
http://genk.vn	 19:26:34 23/05/2015
	 19:26:42 23/05/2015
	 19:26:56 23/05/2015
	 19:27:01 23/05/2015
http://dantri.com.vn	 19:27:06 23/05/2015
	 19:27:24 23/05/2015
http://genk.vn	 19:27:27 23/05/2015
	 19:40:06 23/05/2015
	 19:40:12 23/05/2015
	 19:40:30 23/05/2015
	 19:41:11 23/05/2015
	 19:44:07 23/05/2015
	 19:44:14 23/05/2015
	 19:44:31 23/05/2015
	 19:48:41 23/05/2015
http://localhost/genk.html	 19:48:47 23/05/2015
http://dantri.com.vn	 19:49:19 23/05/2015
http://genk.vn	 19:51:17 23/05/2015
	 19:51:48 23/05/2015
http://mp3.zing.vn	 19:52:01 23/05/2015
http://vnexpress.net	 19:52:21 23/05/2015
http://vozforums.com	 19:52:34 23/05/2015
http://vozforums.com/forumdisplay.php?s=&daysprune=&f=17	 19:53:52 23/05/2015
	 19:56:21 23/05/2015
http://vozforums.com/showthread.php?t=4234461	 19:56:51 23/05/2015
	 04:40:04 29/05/2015
http://dantri.com.vn	 04:40:19 29/05/2015
http://genk.vn	 04:41:05 29/05/2015
	 04:52:18 29/05/2015
http://genk.vn	 04:52:22 29/05/2015
